epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,351.807,0.97378,0.7813,1.11651,0.6284,0.33612,0.3312,0.18847,1.92072,2.58878,1.88056,0.000456863,0.000456863,0.000456863
43,359.367,0.95502,0.78758,1.10652,0.6591,0.31714,0.35927,0.21232,1.82705,2.29729,1.80444,0.00044925,0.00044925,0.00044925
44,366.774,0.95793,0.75794,1.10346,0.41841,0.39145,0.35152,0.19736,1.86509,2.31022,1.86565,0.000441637,0.000441637,0.000441637
45,374.346,0.94686,0.76476,1.1014,0.36952,0.38007,0.33759,0.19426,1.80888,2.5743,1.79735,0.000434024,0.000434024,0.000434024
46,381.901,0.94218,0.72271,1.10031,0.58748,0.34701,0.34376,0.19668,1.83317,2.36244,1.77745,0.000426411,0.000426411,0.000426411
47,389.372,0.89313,0.73187,1.09059,0.60241,0.34359,0.36795,0.19945,1.8664,2.46259,1.85109,0.000418797,0.000418797,0.000418797
48,396.892,0.88908,0.6985,1.08161,0.63749,0.30811,0.35177,0.20159,1.80774,2.53177,1.74357,0.000411184,0.000411184,0.000411184
49,404.419,0.87929,0.68456,1.06245,0.57378,0.41522,0.39317,0.21446,1.82147,2.31624,1.80563,0.000403571,0.000403571,0.000403571
50,411.882,0.89011,0.73764,1.09878,0.59392,0.34702,0.34112,0.19187,1.83819,2.57876,1.8037,0.000395958,0.000395958,0.000395958
51,419.413,0.87217,0.69881,1.05986,0.44274,0.33671,0.32341,0.18742,1.81916,2.63436,1.78437,0.000388345,0.000388345,0.000388345
52,426.853,0.8203,0.64312,1.04652,0.43936,0.37342,0.3615,0.18814,1.84159,2.40233,1.83288,0.000380732,0.000380732,0.000380732
53,434.262,0.84326,0.64845,1.05062,0.38829,0.38493,0.35879,0.19949,1.85725,2.33386,1.75054,0.000373119,0.000373119,0.000373119
54,441.71,0.81165,0.62574,1.03196,0.61064,0.30243,0.35524,0.19827,1.86287,2.50135,1.78977,0.000365506,0.000365506,0.000365506
55,449.132,0.82721,0.64232,1.04287,0.45204,0.32502,0.34601,0.19379,1.84222,2.29361,1.82812,0.000357893,0.000357893,0.000357893
56,456.574,0.81731,0.63966,1.03865,0.58794,0.28193,0.33383,0.1944,1.81057,2.39488,1.7828,0.00035028,0.00035028,0.00035028
57,463.931,0.80418,0.62627,1.03196,0.64179,0.29607,0.3722,0.19616,1.85438,2.48239,1.80201,0.000342666,0.000342666,0.000342666
58,471.437,0.79527,0.61251,1.02268,0.61915,0.33693,0.33964,0.20279,1.80198,2.50638,1.78377,0.000335053,0.000335053,0.000335053
59,478.844,0.81846,0.70743,1.07014,0.58647,0.33699,0.35046,0.20984,1.77304,2.5576,1.77127,0.00032744,0.00032744,0.00032744
60,486.274,0.7996,0.60739,1.02901,0.60639,0.31424,0.33561,0.19577,1.78166,2.59604,1.78103,0.000319827,0.000319827,0.000319827
61,493.741,0.76849,0.59244,1.01452,0.54294,0.30556,0.34159,0.19319,1.77928,2.45343,1.77779,0.000312214,0.000312214,0.000312214
